filename,umap_3d_kmeans,tsne_3d_kmeans,pca_3d_kmeans,pca_256D_kmeans,umap_3d_hdbscan,tsne_3d_hdbscan,umap_3d_silhouette,tsne_3d_silhouette,pca_3d_hdbscan,pca_256D_hdbscan,umap_20d_hdbscan,tsne_20d_hdbscan,ToReview,Prediction,ReviewReason,ReviewCluster
channelA_2025-05-16_17-11-38.wav,21,,19,14,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-11-43.wav,21,,16,10,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-11-53.wav,21,,21,0,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-13.wav,21,,19,7,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-18.wav,21,,19,7,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-23.wav,21,,19,7,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-28.wav,21,,5,21,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-33.wav,21,,19,21,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-38.wav,21,7,19,14,5,0,3,1,25,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-43.wav,21,,19,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-48.wav,21,,19,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-53.wav,21,7,19,14,5,0,3,1,25,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-12-58.wav,21,,20,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-13-03.wav,21,,19,12,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-13-08.wav,21,,19,7,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-13-28.wav,21,,19,14,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-13-33.wav,21,,19,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-13-38.wav,21,,20,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-13-43.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-13-48.wav,21,,19,14,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-13-53.wav,21,,19,14,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-13-58.wav,21,,19,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-03.wav,21,,19,14,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-08.wav,21,,19,14,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-13.wav,21,,21,0,4,,3,,0,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-18.wav,21,,20,14,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-23.wav,21,,19,0,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-28.wav,21,7,20,14,4,0,3,1,25,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-33.wav,21,7,19,0,4,0,3,1,25,1,4,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-38.wav,21,,19,0,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-43.wav,21,,20,14,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-48.wav,21,,20,0,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-53.wav,21,,20,0,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-14-58.wav,21,,19,0,4,,3,,25,1,4,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-03.wav,21,7,19,12,5,0,3,1,0,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-08.wav,21,7,20,14,5,0,3,1,25,1,5,0,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-13.wav,21,,20,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-18.wav,21,,19,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-23.wav,21,,20,14,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-28.wav,21,,20,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-33.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-38.wav,21,,20,12,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-43.wav,21,,19,12,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-48.wav,21,,16,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-53.wav,21,,20,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-20-58.wav,21,,19,12,5,,3,,0,1,5,,True,,umap_3d_kmeans,21
channelA_2025-05-16_17-21-03.wav,21,,19,0,5,,3,,25,1,5,,True,,umap_3d_kmeans,21
