filename,umap_3d_kmeans,tsne_3d_kmeans,pca_3d_kmeans,pca_256D_kmeans,umap_3d_hdbscan,tsne_3d_hdbscan,umap_3d_silhouette,tsne_3d_silhouette,pca_3d_hdbscan,pca_256D_hdbscan,umap_20d_hdbscan,tsne_20d_hdbscan,ToReview,Prediction
channelA_2025-05-16_17-00-18.wav,21,,21,10,5,,3,,0,1,5,,True,
channelA_2025-05-16_17-00-23.wav,21,,19,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-00-28.wav,21,,19,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-00-33.wav,21,,20,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-00-38.wav,21,,20,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-00-43.wav,21,7,20,12,5,0,3,1,25,1,4,0,True,
channelA_2025-05-16_17-00-48.wav,21,,21,10,5,,3,,0,1,5,,True,
channelA_2025-05-16_17-00-53.wav,21,7,20,12,5,0,3,1,25,1,5,0,True,
channelA_2025-05-16_17-00-58.wav,21,,20,12,5,,3,,25,1,5,,True,
channelA_2025-05-16_17-01-03.wav,21,,1,4,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-01-08.wav,21,,19,12,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-01-13.wav,21,,21,10,5,,3,,0,1,5,,True,
channelA_2025-05-16_17-01-18.wav,21,,21,10,5,,3,,0,0,5,,True,
channelA_2025-05-16_17-01-33.wav,21,,1,4,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-01-43.wav,21,,20,12,4,,3,,25,1,4,,True,
channelA_2025-05-16_17-01-48.wav,21,7,20,12,4,0,3,1,25,1,4,0,True,
channelA_2025-05-16_17-01-53.wav,21,7,20,4,4,0,3,1,25,1,4,0,True,
channelA_2025-05-16_17-01-58.wav,21,,20,12,4,,3,,25,1,0,,True,
channelA_2025-05-16_17-02-13.wav,21,,20,4,4,,3,,25,1,3,,True,
